Date;value
2023-02;90.86
2023-01;98.85
2022-12;96.45
2022-11;103.41
2022-10;99.78
2022-09;95.59
2022-08;98.43
2022-07;95.76
2022-06;97.98
2022-05;98.73
2022-04;87.46
2022-03;99.61
2022-02;96.99
2022-01;96.43
2021-12;96.57
2021-11;97.3
2021-10;94.38
2021-09;92.37
2021-08;86.61
2021-07;91.05
2021-06;101.08
2021-05;92.11
2021-04;93.65
2021-03;95.65
2021-02;94.05
2021-01;91.48
2020-12;93.27
2020-11;92.9
2020-10;93.08
2020-09;99.89
2020-08;106.08
2020-07;96.61
2020-06;102.76
2020-05;84.65
2020-04;83.43
2020-03;93.13
2020-02;100.62
2020-01;98.05
2019-12;96.17
2019-11;99.34
2019-10;96.76
2019-09;97.75
2019-08;94.19
2019-07;103.45
2019-06;93.11
2019-05;92.25
2019-04;100.76
2019-03;99.32
2019-02;96.65
2019-01;99.56
2018-12;100.54
2018-11;93.57
2018-10;102.27
2018-09;100.45
2018-08;109.55
2018-07;110.24
2018-06;101.86
2018-05;107.85
2018-04;99.41
2018-03;96.78
2018-02;99.53
2018-01;99.67
2017-12;96.94
2017-11;98.52
2017-10;103.72
2017-09;94.5
2017-08;93.27
2017-07;97.16
2017-06;111.81
2017-05;100.21
2017-04;104.72
2017-03;104.09
2017-02;101.71
2017-01;92.05
2016-12;106.11
2016-11;97.49
2016-10;101.0
2016-09;108.16
2016-08;105.27
2016-07;100.94
2016-06;96.53
2016-05;99.0
2016-04;95.79
2016-03;99.23
2016-02;98.48
2016-01;96.48
2015-12;99.45
2015-11;103.58
2015-10;96.76
2015-09;99.97
2015-08;96.15
2015-07;110.53
2015-06;100.52
2015-05;103.12
2015-04;97.52
2015-03;95.73
2015-02;97.58
2015-01;99.1
2014-12;92.58
2014-11;91.12
2014-10;92.17
2014-09;102.99
2014-08;88.72
2014-07;88.62
2014-06;94.9
2014-05;86.83
2014-04;90.13
2014-03;91.0
2014-02;88.63
2014-01;87.81
2013-12;92.27
2013-11;86.94
2013-10;85.69
2013-09;84.57
2013-08;90.78
2013-07;93.2
2013-06;69.58
2013-05;82.59
2013-04;76.98
2013-03;74.15
2013-02;67.61
2013-01;49.66
2012-12;123.32
2012-11;97.87
2012-10;86.84
2012-09;82.39
2012-08;91.15
2012-07;78.62
2012-06;78.69
2012-05;77.9
2012-04;80.1
2012-03;79.11
2012-02;78.0
2012-01;79.99
2011-12;81.5
2011-11;83.7
2011-10;84.21
2011-09;82.96
2011-08;81.43
2011-07;76.44
2011-06;79.73
2011-05;81.8
2011-04;79.93
2011-03;75.27
2011-02;76.1
2011-01;75.53
2010-12;73.11
2010-11;75.6
2010-10;71.75
2010-09;71.96
2010-08;70.51
2010-07;86.33
2010-06;74.47
2010-05;71.98
2010-04;72.14
2010-03;74.14
2010-02;69.11
2010-01;70.43
2009-12;72.22
2009-11;69.98
2009-10;70.78
2009-09;73.17
2009-08;73.13
2009-07;76.79
2009-06;72.92
2009-05;71.64
2009-04;72.39
2009-03;72.18
2009-02;68.87
2009-01;69.53
2008-12;66.69
2008-11;63.93
2008-10;67.2
2008-09;68.35
2008-08;63.32
2008-07;61.12
2008-06;61.03
2008-05;70.91
2008-04;63.6
2008-03;66.3
2008-02;71.03
2008-01;73.01
2007-12;72.03
2007-11;60.79
2007-10;79.75
2007-09;66.62
2007-08;65.08
2007-07;57.87
2007-06;65.5
2007-05;77.16
2007-04;73.07
2007-03;70.87
2007-02;76.83
2007-01;68.1
2006-12;71.57
2006-11;72.96
2006-10;73.96
2006-09;74.39
2006-08;79.96
2006-07;84.52
2006-06;80.93
2006-05;78.15
2006-04;73.7
2006-03;76.68
2006-02;71.23
2006-01;70.98
2005-12;73.22
2005-11;81.64
2005-10;79.98
2005-09;78.81
2005-08;79.0
2005-07;78.96
2005-06;76.57
2005-05;78.95
2005-04;76.95
2005-03;74.9
2005-02;72.72
2005-01;85.02
2004-12;82.18
2004-11;79.82
2004-10;75.0
2004-09;81.48
2004-08;75.79
2004-07;72.03
2004-06;82.88
2004-05;78.58
2004-04;78.96
2004-03;83.45
2004-02;79.68
2004-01;97.05
2003-12;86.29
2003-11;76.6
2003-10;79.99
2003-09;83.84
2003-08;93.85
2003-07;94.93
2003-06;90.17
2003-05;81.48
2003-04;87.57
2003-03;82.5
2003-02;97.48
2003-01;83.75
2002-12;78.08
2002-11;89.31
2002-10;100.47
2002-09;85.92
2002-08;82.19
2002-07;70.2
2002-06;82.4
2002-05;85.27
2002-04;95.2
2002-03;90.11
2002-02;94.34
2002-01;90.78
2001-12;92.4
2001-11;88.45
2001-10;88.72
2001-09;78.23
2001-08;106.15
2001-07;88.69
2001-06;90.21
2001-05;91.61
2001-04;89.36
2001-03;86.41
2001-02;91.28
2001-01;93.02
2000-12;90.0
2000-11;75.04
2000-10;104.28
2000-09;100.03
2000-08;88.4
2000-07;91.03
2000-06;87.88
2000-05;97.08
2000-04;83.36
2000-03;96.49
2000-02;91.53
2000-01;77.3
1999-12;80.37
1999-11;86.44
1999-10;102.12
1999-09;86.08
1999-08;94.31
1999-07;88.95
1999-06;88.42
1999-05;87.7
1999-04;89.99
1999-03;85.23
1999-02;87.18
1999-01;93.93
1998-12;85.9
1998-11;86.86
1998-10;83.97
1998-09;88.55
1998-08;90.06
1998-07;90.74
1998-06;92.4
1998-05;89.5
1998-04;88.33
1998-03;94.53
1998-02;90.06
1998-01;90.73
1997-12;103.23
1997-11;101.77
1997-10;93.94
1997-09;96.46
1997-08;92.03
1997-07;78.26
